_raw_log
"<5>1 2024-08-23T07:11:11Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser2 fname= dvc= shost=10.131.107.157 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:11:16Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser2 fname= dvc= shost=10.131.107.157 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:10:45Z PEG-P-P-2-PASAAS-AP-SE-2-AMP-NP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser4 fname= dvc= shost=10.149.147.236 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:10:55Z PEG-P-P-2-PASAAS-AP-SE-2-AMP-NP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser4 fname= dvc= shost=10.149.147.236 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:11:00Z PEG-P-P-2-PASAAS-AP-SE-2-AMP-NP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser4 fname= dvc= shost=10.149.147.236 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:11:06Z PEG-P-P-2-PASAAS-AP-SE-2-AMP-NP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser4 fname= dvc= shost=10.149.147.236 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:11:36Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser2 fname= dvc= shost=10.131.107.157 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:11:41Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser2 fname= dvc= shost=10.131.107.157 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:10:53Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|295|Retrieve password|5|act=Retrieve password suser=Cloud2-PRD-CPM1 fname=Root\Operating System-AMPAU-DDC-PRD-KUB-au.amp.local-pam_ddc_prd_kub_adm7 dvc= shost=54.79.135.89 dhost=au.amp.local duser=pam_ddc_prd_kub_adm7 externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=ampau-ddc-prd-kub-adm cs3Label=""Device Type"" cs3=Operating System cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=CPM  msg=CPM"
"<5>1 2024-08-23T07:10:54Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|294|Store password|5|act=Store password suser=Cloud2-PRD-CPM1 fname=Root\Operating System-AMPAU-DDC-PRD-KUB-au.amp.local-pam_ddc_prd_kub_adm7 dvc= shost=54.79.135.89 dhost=au.amp.local duser=pam_ddc_prd_kub_adm7 externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=ampau-ddc-prd-kub-adm cs3Label=""Device Type"" cs3=Operating System cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
"<5>1 2024-08-23T07:10:56Z PEG-P-P-1-PASAAS-AP-SE-2-AMP-VAULT-BLUE CEF:0|Cyber-Ark|Vault|14.3.0000|296|Open Safe|5|act=Open Safe suser=PVWAAppUser2 fname= dvc= shost=10.131.107.157 dhost= duser= externalId= app= reason= cs1Label=""Affected User Name"" cs1= cs2Label=""Safe Name"" cs2=PVWATaskDefinitions cs3Label=""Device Type"" cs3= cs4Label=""Database"" cs4= cs5Label=""Other info"" cs5= cn1Label=""Request Id"" cn1= cn2Label=""Ticket Id"" cn2=  msg="
